iteration, obj, obj_qp, obj_lp, obj_decoded, rho
106,-3005.1,26.631,-3854.4,-2569.4,0.1
152,-3005.2,26.432,-3854.2,-2638.2,0.1
175,-3005.2,26.321,-3854.1,-2670.1,0.1
189,-3005.2,26.247,-3854,-2681.3,0.1
199,-3005.2,26.19,-3854,-2679.7,0.1
206,-3005.2,26.142,-3854,-2673.4,0.1
241,-2613.8,24.857,-3691.4,-2518.8,0.15
261,-2614,23.824,-3690.8,-2583.1,0.15
285,-2614.1,22.822,-3690.2,-2634.4,0.15
307,-2614.3,21.749,-3689.6,-2667.7,0.15
326,-2614.4,20.532,-3689.1,-2684.4,0.15
344,-2614.6,19.105,-3688.5,-2717.1,0.15
361,-2614.8,17.391,-3687.8,-2726.7,0.15
377,-2615.1,15.301,-3687.1,-2723.1,0.15
393,-2615.4,12.744,-3686.3,-2728.5,0.15
408,-2615.9,9.6456,-3685.4,-2741.9,0.15
423,-2616.5,6.0411,-3684.4,-2750.7,0.15
438,-2617.1,2.0256,-3683.4,-2756.5,0.15
453,-2617.9,-2.5162,-3682.2,-2772.7,0.15
468,-2618.7,-7.8958,-3680.9,-2778.9,0.15
483,-2619.7,-14.26,-3679.4,-2781.1,0.15
498,-2620.9,-21.599,-3677.8,-2791.3,0.15
513,-2622.3,-30.004,-3675.9,-2801.1,0.15
528,-2624,-39.531,-3673.9,-2800.1,0.15
543,-2625.8,-49.921,-3671.8,-2806.1,0.15
558,-2627.8,-60.837,-3669.6,-2804.6,0.15
573,-2629.8,-72.067,-3667.3,-2801.6,0.15
588,-2631.9,-83.51,-3665,-2805.3,0.15
604,-2633.9,-95.213,-3662.5,-2804.1,0.15
619,-2636,-107.29,-3660,-2809.8,0.15
635,-2638.1,-119.92,-3657.4,-2814.4,0.15
651,-2640.3,-133.37,-3654.6,-2824.6,0.15
667,-2642.7,-147.76,-3651.6,-2820.5,0.15
683,-2645.3,-162.93,-3648.6,-2827.6,0.15
699,-2648.1,-178.6,-3645.5,-2831,0.15
715,-2650.9,-194.46,-3642.4,-2835.1,0.15
731,-2653.7,-210.34,-3639.4,-2847.8,0.15
747,-2656.6,-226.12,-3636.4,-2849.9,0.15
763,-2659.4,-241.76,-3633.4,-2843.3,0.15
779,-2662.2,-257.28,-3630.4,-2850.7,0.15
795,-2665,-272.65,-3627.5,-2853.2,0.15
811,-2667.7,-287.81,-3624.6,-2855.9,0.15
827,-2670.3,-302.85,-3621.6,-2858.7,0.15
843,-2672.9,-317.94,-3618.6,-2864.3,0.15
859,-2675.4,-333.23,-3615.5,-2860.6,0.15
875,-2678,-348.69,-3612.4,-2865.6,0.15
891,-2680.5,-364.12,-3609.3,-2863,0.15
907,-2683.1,-379.3,-3606.2,-2859.3,0.15
923,-2685.5,-394.22,-3603,-2860.8,0.15
939,-2687.9,-409.08,-3599.8,-2862.3,0.15
955,-2690.2,-424.19,-3596.6,-2861.3,0.15
971,-2692.6,-439.92,-3593.2,-2865.9,0.15
987,-2695.2,-456.45,-3589.8,-2867.3,0.15
1003,-2697.9,-473.61,-3586.3,-2874.8,0.15
1019,-2700.7,-491.06,-3582.8,-2882.7,0.15
